"sample","latitude","longitude","date","time","site","location","successful.count","habitat.backwards.image.saved"
"FH113",-33.72368897,114.7963721,20201012,12:41:00,"C.FH.7","South-west","Yes","Yes"
"FH14",-33.76618897,114.8713721,20201017,11:24:00,"C.FH.10","South-west","Yes","Yes"
"FH2",-33.91868897,114.8913721,20201029,12:43:00,"C.FH.21","South-west","Yes","Yes"
"FH32",-33.69618897,114.9463721,20201017,08:50:00,"C.FH.5","South-west","Yes","Yes"
"FH33",-33.70868897,114.8263721,20201012,10:54:00,"C.FH.6","South-west","Yes","Yes"
"FH40",-33.92368897,114.8888721,20201029,12:40:00,"C.FH.21","South-west","Yes","Yes"
"FH54",-33.76618897,114.9388721,20201017,09:20:00,"C.FH.9","South-west","Yes","Yes"
"FH62",-33.75618897,114.8813721,20201017,11:17:00,"C.FH.8","South-west","Yes","Yes"
"FH77",-33.99618897,114.8763721,20201013,12:42:00,"C.FH.24","South-west","Yes","Yes"
"IO130",-33.98118897,114.8763721,20201013,12:24:00,"C.IO.37","South-west","Yes","No (stopped working )"
"IO157",-33.97118897,114.8238721,20201013,10:14:00,"C.IO.33","South-west","Yes","Yes"
"IO16",-34.07368897,114.8688721,20201016,09:43:00,"C.IO.35","South-west","Yes","Yes"
"IO17",-34.06368897,114.8763721,20201016,08:07:00,"C.IO.35","South-west","Yes","Yes"
"IO189",-33.98868897,114.6638721,20201023,12:31:00,"C.IO.40","South-west","Yes","Yes"
"IO194",-33.99618897,114.6638721,20201023,12:24:00,"C.IO.40","South-west","Yes","Yes"
"IO206",-34.06368897,114.7913721,20201015,10:28:00,"C.IO.7","South-west","Yes","Yes"
"IO235",-34.06618897,114.9138721,20201016,12:49:00,"C.IO.2","South-west","Yes","Yes"
"IO258",-33.96618897,114.9138721,20201019,12:05:00,"C.IO.20","South-west","Yes","Yes"
"IO267",-34.02618897,114.7638721,20201015,08:11:00,"C.IO.23","South-west","Yes","Yes"
"IO272",-34.00868897,114.8138721,20201019,06:56:00,"C.IO.21","South-west","Yes","Yes"
"IO273",-33.99868897,114.8213721,20201019,07:07:00,"C.IO.22","South-west","Yes","Yes"
"IO275",-34.09868897,114.6463721,20201123,14:38:00,"C.IO.15","South-west","Yes","Yes"
"IO326",-34.00425,114.6892833,20201123,12:26:00,"C.IO.24","South-west","Yes","Yes"
"IO336",-34.0924,114.8663667,20201016,10:03:00,"C.IO.6","South-west","Yes","Yes"
"IO344",-34.0844,114.6744,20201023,09:28:00,"C.IO.14","South-west","Yes","Yes"
"IO372",-34.00618897,114.6438721,20201023,11:53:00,"C.IO.26","South-west","Yes","Yes"
"IO59",-34.14118897,114.7663721,20201022,07:33:00,"C.IO.69","South-west","Yes","Yes"
